en_text,vi_text,type
"The final Q3 2023 audit, submitted at 10:30 AM, showed revenues increased by 7.5% to $14.75 billion.","Báo cáo kiểm toán Quý 3 năm 2023 cuối cùng, được nộp lúc 10:30 SÁNG, cho thấy doanh thu tăng 7,5% lên 14,75 tỷ đô la.",hallu_numbers
"Our priority cargo weighing 850.45 kg must travel 4,200 km before the deadline of 7:30 AM tomorrow.","Lô hàng ưu tiên của chúng tôi nặng 850,45 kg phải di chuyển 4.200 km trước thời hạn 7:30 SÁNG ngày mai.",hallu_numbers
"By 11:30 AM on Black Friday, the main store recorded sales of $1,500,200.50, representing an 18.5% YoY growth.","Tính đến 11:30 SÁNG Thứ Sáu Đen, cửa hàng chính đã ghi nhận doanh số 1.500.200,50 đô la, đại diện cho mức tăng trưởng 18,5% so với cùng kỳ năm trước.",hallu_numbers
"Server migration completed at 2:00 AM on January 1, 2024, achieving a post-migration uptime of 99.999%.","Việc di chuyển máy chủ đã hoàn tất lúc 2:00 SÁNG ngày 1 tháng 1 năm 2024, đạt thời gian hoạt động sau di chuyển là 99,999%.",hallu_numbers
"During the late 1990s, the average corporate interest rate peaked at 12.5%, impacting over $3.5 billion in outstanding debt.","Trong suốt cuối những năm 1990, lãi suất doanh nghiệp trung bình đạt đỉnh 12,5%, ảnh hưởng đến hơn 3,5 tỷ đô la nợ chưa thanh toán.",hallu_numbers
"Oil futures trading closed at 4:30 PM on October 15 at $85.62 per barrel, marking a daily change of only 0.05%.","Giao dịch hợp đồng tương lai dầu mỏ đóng cửa lúc 4:30 CHIỀU ngày 15 tháng 10 ở mức 85,62 đô la mỗi thùng, đánh dấu mức thay đổi hàng ngày chỉ 0,05%.",hallu_numbers
"The facility produces 5,500 units daily, consuming 7.8 metric tons of raw material, effective December 31.","Cơ sở này sản xuất 5.500 đơn vị mỗi ngày, tiêu thụ 7,8 tấn vật liệu thô, có hiệu lực từ ngày 31 tháng 12.",hallu_numbers
"After 48 hours, the system averaged a return rate error of 0.8%, processing $2,100.75 in refunds hourly.","Sau 48 giờ, hệ thống ghi nhận tỷ lệ lỗi hoàn tiền trung bình là 0,8%, xử lý 2.100,75 đô la tiền hoàn lại mỗi giờ.",hallu_numbers
"The study, published at 10:00 AM, May 1st, showed a 15% increase in protein levels, reaching 1.85 nanograms per milliliter.","Nghiên cứu, được công bố lúc 10:00 SÁNG ngày 1 tháng 5, cho thấy mức tăng 15% nồng độ protein, đạt 1,85 nanogram trên mỗi mililit.",hallu_numbers
"Over the past 10 years, the investment of $500,000 yielded a Compound Annual Growth Rate (CAGR) of 12.45%.","Trong 10 năm qua, khoản đầu tư 500.000 đô la đã mang lại Tỷ lệ Tăng trưởng Kép Hàng năm (CAGR) là 12,45%.",hallu_numbers
